Sample	Fws
PA0222-C	0.2448418
PA0223-C	0.99029356
PA0224-C	0.4097813
PA0225-C	0.99574685
PA0226-C	0.9955635
PA0227-C	0.5432772
PA0229-C	0.996666
PA0230-C	0.4154287
PA0231-C	0.24976857
PA0232-C	0.9978463
PA0233-C	0.16745536
PA0234-C	0.37404245
PA0237-C	0.9985271
PA0238-C	1.0
PA0239-C	0.24561468
PA0240-C	0.99772584
PA0243-C	0.32645234
PA0245-C	0.9963923
PA0246-C	0.77771467
PA0249-C	0.33030194
PA0251-C	0.7529791
PA0253-C	0.35176727
PA0254-C	0.9929334
PA0255-C	0.32688537
PA0256-C	0.99787605
PA0257-C	0.23308149
PA0260-C	0.96140164
PA0261-C	0.99528515
PA0262-C	0.9989154
PA0263-C	0.5360539
PA0266-C	0.45307165
PA0267-C	0.86682093
PA0268-C	0.93974423
PA0270-C	0.99734175
PA0281-CW	0.56759775
PA0283-CW	0.886495
PA0284-CW	0.80012107
PA0290-C	0.2663549
PA0291-CW	0.56634057
PA0294-CW	0.8518972
PA0295-CW	0.9961981
PA0297-CW	0.95218074
PA0298-C	0.64257765
PA0299-CW	0.99925995
PA0300-C	0.40082592
PA0302-C	0.9941044
PA0303-CW	0.86103266
PA0305-CW	0.69340575
PA0306-CW	0.72956127
PA0307-CW	0.99116635
PA0312-CW	0.99600303
PA0313-CW	0.86004895
PA0318-CW	0.98091424
PA0321-CW	0.85507876
PA0325-CW	0.50504357
PA0329-CW	0.9685666
PA0330-CW	0.97008055
PA0331-CW	0.9750926
PA0332-CW	0.99847406
PA0334-CW	0.6809683
PA0337-C	0.98062414
PA0341-C	0.75455266
PA0342-CW	0.5194095
PA0344-CW	0.54123133
PA0345-CW	0.99367064
PA0346-CW	0.99453884
PA0347-CW	0.9691929
PA0349-C	0.99729276
PA0350-CW	0.80916333
PA0357-CW	0.81442344
PA0363-CW	0.86858493
PA0370-C	0.8231739
PA0371-C	0.9994706
PA0372-C	0.7524932
PA0373-C	0.707747
PA0374-C	0.997754
PA0375-C	0.47741482
PA0376-C	0.99711275
PA0377-C	0.9977706
PA0378-C	0.6506192
PA0379-C	0.998739
PA0382-C	0.7537095
PA0383-C	0.9967442
PA0384-C	0.9995381
PA0387-C	0.999518
PA0388-C	0.9934116
PA0389-C	0.873463
PA0391-C	0.99572515
PA0392-C	0.98447865
PA0393-C	0.99641776
PA0394-C	0.9255551
PA0395-C	0.9943562
PA0396-C	0.99933136
PA0397-C	0.6556346
PA0398-C	0.9997844
PA0399-C	0.4595421
PA0400-C	0.99813634
PA0401-C	0.9979976
PA0402-C	0.99764425
PA0403-C	0.99507105
PA0404-C	0.48520502
PA0405-C	0.9645742
PA0406-C	0.9823714
PA0407-C	0.9957635
PA0409-C	0.99732953
PA0411-C	0.99860716
PA0413-C	0.9964983
PA0414-C	0.98891836
PA0417-C	0.9999888
PA0419-C	0.99778515
PA0423-C	0.99556637
PA0424-C	0.99764967
PA0425-C	0.7546746
PA0431-C	0.9998767
PA0438-C	0.9892799
PA0439-C	0.8600061
PA0440-C	0.9988299
PA0441-C	0.99810094
PA0442-C	0.9950389
PA0443-C	0.8000637
PA0444-C	0.9945628
PA0445-C	0.88546884
PA0446-C	0.9992745
PA0447-C	0.49548545
PA0448-C	0.9965458
PA0449-C	0.9946597
PA0450-C	0.9949506
PA0451-C	0.9979048
PA0453-C	0.7716381
PA0454-C	0.9644118
PA0455-C	0.7566801
PA0456-C	0.995593
PA0457-C	0.9954007
PA0458-C	0.557853
PA0459-C	0.99738127
PA0460-C	0.72774166
PA0461-C	0.75972694
PA0462-C	0.94762856
PA0463-C	0.99536854
PA0464-C	0.7820175
PA0465-C	0.46250033
PA0467-C	0.48467287
PA0468-C	0.9576039
PA0469-C	0.6065367
PA0470-C	0.9965619
PA0471-C	0.9980503
PA0472-C	0.99692297
PA0473-C	0.71974856
PA0474-C	0.57115644
PA0475-C	0.42868257
PA0478-C	0.9866234
PA0479-C	0.9985506
PA0480-C	0.99484783
PA0481-C	0.92586154
PA0482-C	0.6963524
PA0483-C	0.5396361
PA0484-C	0.77304876
PA0485-C	0.99816227
PA0486-C	0.35636795
PA0487-C	0.5613565
PA0488-C	0.7756007
PA0489-C	0.99078107
PA0490-C	0.5298183
PA0491-C	0.9842093
PA0492-C	0.60436374
PA0494-C	0.51543707
PA0496-C	0.6551428
PA0497-C	0.540212
PA0498-C	0.7544134
PA0500-C	0.71320903
PA0501-C	0.99219507
PA0502-C	0.986421
PA0503-C	0.7554235
PA0504-C	0.8637982
PA0505-C	0.3206917
PA0506-C	0.8483952
PA0507-C	0.84052783
PA0508-C	0.9731745
PA0513-C	0.74616367
