Sample	Study	Site	Country	Lat	Long	Year	ENA	All samples same individual	Population	% callable	QC pass	Exclusion reason	Is returning traveller
PF0643-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343113	PF0643-C	WAF	90.81	True	Analysis_set	False
PF0647-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343125	PF0647-C	WAF	90.91	True	Analysis_set	False
PF0650-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343126	PF0650-C	WAF	90.47	True	Analysis_set	False
PF0651-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343127	PF0651-C	WAF	90.84	True	Analysis_set	False
PF0653-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343114	PF0653-C	WAF	90.86	True	Analysis_set	False
PF0655-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343103	PF0655-C	WAF	90.09	True	Analysis_set	False
PF0661-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2013	ERR343115	PF0661-C	WAF	89.88	True	Analysis_set	False
PF0664-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2013	ERR340464	PF0664-C	WAF	90.72	True	Analysis_set	False
PF0666-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2013	ERR340465	PF0666-C	WAF	90.31	True	Analysis_set	False
PF0667-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376187	PF0667-C	WAF	90.33	True	Analysis_set	False
PF0668-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403192	PF0668-C	WAF	90.04	True	Analysis_set	False
PF0669-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403193	PF0669-C	WAF	89.8	True	Analysis_set	False
PF0670-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376211	PF0670-C	WAF	85.46	True	Analysis_set	False
PF0671-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376199	PF0671-C	WAF	90.47	True	Analysis_set	False
PF0672-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376200	PF0672-C	WAF	89.23	True	Analysis_set	False
PF0673-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403194	PF0673-C	WAF	90.78	True	Analysis_set	False
PF0676-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376212	PF0676-C	WAF	88.4	True	Analysis_set	False
PF0678-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376188	PF0678-C	WAF	88.95	True	Analysis_set	False
PF0679-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376213	PF0679-C	WAF	89.93	True	Analysis_set	False
PF0680-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376214	PF0680-C	WAF	88.81	True	Analysis_set	False
PF0681-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376201	PF0681-C	WAF	90.07	True	Analysis_set	False
PF0684-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376216	PF0684-C	WAF	89.86	True	Analysis_set	False
PF0685-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376203	PF0685-C	WAF	88.96	True	Analysis_set	False
PF0686-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376217	PF0686-C	WAF	88.09	True	Analysis_set	False
PF0687-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403197	PF0687-C	WAF	74.75	True	Analysis_set	False
PF0689-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376189	PF0689-C	WAF	89.12	True	Analysis_set	False
PF0690-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376218	PF0690-C	WAF	90.72	True	Analysis_set	False
PF0691-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376204	PF0691-C	WAF	89.14	True	Analysis_set	False
PF0694-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376191	PF0694-C	WAF	87.62	True	Analysis_set	False
PF0695-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376219	PF0695-C	WAF	89.98	True	Analysis_set	False
PF0696-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403199	PF0696-C	WAF	86.33	True	Analysis_set	False
PF0697-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376192	PF0697-C	WAF	88.88	True	Analysis_set	False
PF0699-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376220	PF0699-C	WAF	88.11	True	Analysis_set	False
PF0700-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376206	PF0700-C	WAF	89.4	True	Analysis_set	False
PF0701-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403200	PF0701-C	WAF	90.42	True	Analysis_set	False
PF0703-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376207	PF0703-C	WAF	89.0	True	Analysis_set	False
PF0704-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403201	PF0704-C	WAF	89.38	True	Analysis_set	False
PF0706-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403202	PF0706-C	WAF	89.92	True	Analysis_set	False
PF0707-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376193	PF0707-C	WAF	88.67	True	Analysis_set	False
PF0708-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376194	PF0708-C	WAF	89.32	True	Analysis_set	False
PF0711-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376208	PF0711-C	WAF	88.71	True	Analysis_set	False
PF0712-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403203	PF0712-C	WAF	88.82	True	Analysis_set	False
PF0715-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376209	PF0715-C	WAF	87.13	True	Analysis_set	False
PF0718-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376197	PF0718-C	WAF	90.1	True	Analysis_set	False
PF0722-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376210	PF0722-C	WAF	88.81	True	Analysis_set	False
PF0723-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376198	PF0723-C	WAF	89.44	True	Analysis_set	False
PF0724-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376222	PF0724-C	WAF	87.16	True	Analysis_set	False
PF0808-C	1094-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2013	ERR450070	PF0808-C	WAF	85.01	True	Analysis_set	False
PH0201-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR033026	PH0201-C	ESEA	89.03	True	Analysis_set	False
PH0203-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR033027	PH0203-C	ESEA	88.21	True	Analysis_set	False
PH0204-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR033028	PH0204-C	ESEA	89.32	True	Analysis_set	False
PH0205-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR033029	PH0205-C	ESEA	89.64	True	Analysis_set	False
PH0339-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039190	PH0339-C	ESEA	89.92	True	Analysis_set	False
PH0340-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039191	PH0340-C	ESEA	90.38	True	Analysis_set	False
PH0341-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039192	PH0341-C	ESEA	90.12	True	Analysis_set	False
PH0342-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039193	PH0342-C	ESEA	89.76	True	Analysis_set	False
PH0343-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039194	PH0343-C	ESEA	89.83	True	Analysis_set	False
PH0344-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR045652	PH0344-C	ESEA	89.96	True	Analysis_set	False
PH0345-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039195	PH0345-C	ESEA	90.31	True	Analysis_set	False
PH0346-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039196	PH0346-C	ESEA	89.85	True	Analysis_set	False
PH0347-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039197	PH0347-C	ESEA	89.91	True	Analysis_set	False
PH0348-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039198	PH0348-C	ESEA	89.83	True	Analysis_set	False
PH0349-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039199	PH0349-C	ESEA	89.72	True	Analysis_set	False
PH0350-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039200	PH0350-C	ESEA	89.73	True	Analysis_set	False
PH0351-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039201	PH0351-C	ESEA	77.74	True	Analysis_set	False
PH0352-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039202	PH0352-C	ESEA	89.8	True	Analysis_set	False
PH0353-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039203	PH0353-C	ESEA	89.74	True	Analysis_set	False
PH0354-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039204	PH0354-C	ESEA	89.61	True	Analysis_set	False
PH0355-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039205	PH0355-C	ESEA	89.75	True	Analysis_set	False
PH0356-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039206	PH0356-C	ESEA	89.85	True	Analysis_set	False
PH0357-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039207	PH0357-C	ESEA	89.92	True	Analysis_set	False
PH0358-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039208	PH0358-C	ESEA	89.81	True	Analysis_set	False
PH0359-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039209	PH0359-C	ESEA	89.93	True	Analysis_set	False
PH0360-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039210	PH0360-C	ESEA	89.84	True	Analysis_set	False
PH0361-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039211	PH0361-C	ESEA	89.79	True	Analysis_set	False
PH0362-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039212	PH0362-C	ESEA	89.84	True	Analysis_set	False
PH0363-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039213	PH0363-C	ESEA	89.79	True	Analysis_set	False
PH0364-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039214	PH0364-C	ESEA	89.49	True	Analysis_set	False
PH0365-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039215	PH0365-C	ESEA	90.23	True	Analysis_set	False
PH0366-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039216	PH0366-C	ESEA	90.09	True	Analysis_set	False
PH0367-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039217	PH0367-C	ESEA	89.8	True	Analysis_set	False
PH0368-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039218	PH0368-C	ESEA	90.35	True	Analysis_set	False
PH0369-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039219	PH0369-C	ESEA	87.66	True	Analysis_set	False
PH0370-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039220	PH0370-C	ESEA	89.3	True	Analysis_set	False
PH0371-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039221	PH0371-C	ESEA	90.03	True	Analysis_set	False
PH0372-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039222	PH0372-C	ESEA	89.91	True	Analysis_set	False
PH0373-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039223	PH0373-C	ESEA	89.42	True	Analysis_set	False
PH0374-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039224	PH0374-C	ESEA	89.73	True	Analysis_set	False
PH0375-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039225	PH0375-C	ESEA	89.9	True	Analysis_set	False
PH0376-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039226	PH0376-C	ESEA	90.06	True	Analysis_set	False
PH0377-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039227	PH0377-C	ESEA	89.93	True	Analysis_set	False
PH0378-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039228	PH0378-C	ESEA	89.85	True	Analysis_set	False
PH0379-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039229	PH0379-C	ESEA	90.27	True	Analysis_set	False
PH0380-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR045653	PH0380-C	ESEA	90.25	True	Analysis_set	False
PH0381-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039230	PH0381-C	ESEA	89.76	True	Analysis_set	False
PH0382-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039231	PH0382-C	ESEA	89.62	True	Analysis_set	False
PH0383-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039232	PH0383-C	ESEA	90.09	True	Analysis_set	False
PH0384-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039233	PH0384-C	ESEA	90.23	True	Analysis_set	False
PH0502-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR126016	PH0502-C	ESEA	89.86	True	Analysis_set	False
PH0503-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR067567	PH0503-C	ESEA	76.15	True	Analysis_set	False
PH0504-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR063627	PH0504-C	ESEA	88.72	True	Analysis_set	False
PH0505-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR067575	PH0505-C	ESEA	90.9	True	Analysis_set	False
PH0506-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR126017	PH0506-C	ESEA	90.03	True	Analysis_set	False
PH0507-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR063639	PH0507-C	ESEA	90.1	True	Analysis_set	False
PH0508-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR067573	PH0508-C	ESEA	90.18	True	Analysis_set	False
PH0510-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR063621	PH0510-C	ESEA	89.63	True	Analysis_set	False
PH0614-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR114343	PH0614-C	ESEA	90.68	True	Analysis_set	False
PH0617-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123871	PH0617-C	ESEA	83.06	True	Analysis_set	False
PH0619-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123873	PH0619-C	ESEA	88.17	True	Analysis_set	False
PH0621-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR114344	PH0621-C	ESEA	85.52	True	Analysis_set	False
PH0623-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123876	PH0623-C	ESEA	90.0	True	Analysis_set	False
PH0624-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123877	PH0624-C	ESEA	87.07	True	Analysis_set	False
PH0625-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123878	PH0625-C	ESEA	88.8	True	Analysis_set	False
PH0626-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123879	PH0626-C	ESEA	90.44	True	Analysis_set	False
PH0627-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123880	PH0627-C	ESEA	90.54	True	Analysis_set	False
PH0628-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123881	PH0628-C	ESEA	90.68	True	Analysis_set	False
PH0629-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123882	PH0629-C	ESEA	90.55	True	Analysis_set	False
PH0630-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR114350	PH0630-C	ESEA	89.88	True	Analysis_set	False
PH0631-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123883	PH0631-C	ESEA	89.9	True	Analysis_set	False
PH0632-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR114341	PH0632-C	ESEA	90.62	True	Analysis_set	False
PH0633-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123884	PH0633-C	ESEA	88.94	True	Analysis_set	False
PH0634-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123885	PH0634-C	ESEA	89.76	True	Analysis_set	False
PH0635-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123886	PH0635-C	ESEA	90.55	True	Analysis_set	False
PH0636-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123887	PH0636-C	ESEA	90.02	True	Analysis_set	False
PH0637-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR114342	PH0637-C	ESEA	85.06	True	Analysis_set	False
PH0638-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123888	PH0638-C	ESEA	89.73	True	Analysis_set	False
PH0639-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123889	PH0639-C	ESEA	90.23	True	Analysis_set	False
PH0640-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123890	PH0640-C	ESEA	90.27	True	Analysis_set	False
PH0641-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123891	PH0641-C	ESEA	90.6	True	Analysis_set	False
PH0642-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR114345	PH0642-C	ESEA	90.94	True	Analysis_set	False
PH0643-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR114346	PH0643-C	ESEA	90.56	True	Analysis_set	False
PH0644-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123892	PH0644-C	ESEA	89.58	True	Analysis_set	False
PH0645-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123893	PH0645-C	ESEA	90.93	True	Analysis_set	False
PH0646-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123894	PH0646-C	ESEA	90.26	True	Analysis_set	False
PH0647-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123895	PH0647-C	ESEA	89.73	True	Analysis_set	False
PH0648-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123896	PH0648-C	ESEA	90.01	True	Analysis_set	False
PH0650-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123898	PH0650-C	ESEA	90.01	True	Analysis_set	False
PH0651-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123899	PH0651-C	ESEA	86.42	True	Analysis_set	False
PH0764-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171618	PH0764-C	ESEA	62.1	True	Analysis_set	False
PH0765-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171619	PH0765-C	ESEA	73.69	True	Analysis_set	False
PH0766-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR388777	PH0766-Cx	ESEA	90.56	True	Analysis_set	False
PH0767-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171620	PH0767-C	ESEA	68.8	True	Analysis_set	False
PH0768-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171621	PH0768-C	ESEA	78.66	True	Analysis_set	False
PH0769-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171622	PH0769-C	ESEA	83.59	True	Analysis_set	False
PH0770-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171623	PH0770-C	ESEA	75.77	True	Analysis_set	False
PH0772-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171624	PH0772-C	ESEA	87.54	True	Analysis_set	False
PH0773-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR404183	PH0773-Cx	ESEA	86.85	True	Analysis_set	False
PH0774-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171625	PH0774-C	ESEA	81.92	True	Analysis_set	False
PH0775-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR388772	PH0775-Cx	ESEA	89.88	True	Analysis_set	False
PH0776-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171626	PH0776-C	ESEA	79.47	True	Analysis_set	False
PH0777-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171627	PH0777-C	ESEA	72.87	True	Analysis_set	False
PH0778-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171628	PH0778-C	ESEA	89.65	True	Analysis_set	False
PH0779-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR404172	PH0779-Cx	ESEA	88.73	True	Analysis_set	False
PH0780-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171629	PH0780-C	ESEA	85.73	True	Analysis_set	False
PH0782-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR216652	PH0782-C	ESEA	80.89	True	Analysis_set	False
PH0783-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171630	PH0783-C	ESEA	77.06	True	Analysis_set	False
PH0784-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR205962	PH0784-C	ESEA	83.94	True	Analysis_set	False
PH0785-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR388779	PH0785-Cx	ESEA	88.56	True	Analysis_set	False
PH0786-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR388771	PH0786-Cx	ESEA	84.36	True	Analysis_set	False
PH0788-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171654	PH0788-C	ESEA	87.08	True	Analysis_set	False
PH0789-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171631	PH0789-C	ESEA	84.4	True	Analysis_set	False
PH0790-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171632	PH0790-C	ESEA	82.35	True	Analysis_set	False
PH0793-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171634	PH0793-C	ESEA	67.4	True	Analysis_set	False
PH0794-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR337561	PH0794-C	ESEA	90.48	True	Analysis_set	False
PH0795-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171635	PH0795-C	ESEA	87.75	True	Analysis_set	False
