Sample	Fws
PC0079-C	0.9979553
PC0085-C	0.5655687
PC0097-C	0.9988158000000001
PC0103-C	0.98966736
PC0104-C	0.98990124
PC0107-C	0.98955995
PC0113-C	0.59185493
PC0118-C	0.9004271999999999
PC0122-C	0.99613625
PC0169-C	0.55159515
PC0172-C	0.55071306
PC0173-C	0.98872226
PC0174-C	0.713032
PC0178-C	0.6565609
PC0180-C	0.48288690000000006
PC0183-C	0.9938846
PC0184-C	0.98880994
PC0186-C	0.99059683
PC0187-C	0.29809508
PC0188-C	0.57770425
PC0189-C	0.382844
PC0191-C	0.99013793
PC0193-C	0.95885897
PC0197-C	0.9903449000000001
PC0198-C	0.9959040000000001
PC0199-C	0.9226546999999998
PC0200-C	0.5778631999999999
PC0201-C	0.9056322
PC0202-C	0.42880693
PC0206-C	0.9916261000000001
PC0208-C	0.98901457
PC0209-C	0.6427
PC0213-C	0.37690365
PC0220-C	0.69946367
PC0229-C	0.43000782
PC0231-C	0.85138077
PC0232-C	0.41403840000000003
PC0233-C	0.42753044
PC0236-C	0.4906594
PC0245-C	0.9959773000000001
PC0246-C	0.5988271
PC0252-C	0.5700764
PC0254-C	0.53330207
PC0255-C	0.9922856
PC0256-C	0.33865827
PC0257-C	0.26551956
PC0258-C	0.5060226
PC0259-C	0.99883735
PC0262-C	0.4208732
PC0263-C	0.460241
PC0268-C	0.7540434
PC0269-C	0.48972797
PC0273-C	0.78184175
PC0276-C	0.58353823
PC0277-C	0.98130846
PC0278-C	0.7598067
PC0282-C	0.9868379
PC0287-C	0.97908497
PC0288-C	0.68897676
PC0293-C	0.5891926
PC0295-C	0.41390416
PC0296-C	0.7210014
PC0301-C	0.99859905
PC0302-C	0.9693002000000001
PC0305-C	0.6297286
PC0311-C	0.9849863999999999
PC0314-C	0.99069744
PC0337-C	0.98298275
PC0352-C	0.56181705
PD0003-C	0.99220973
PD0004-03	0.99605596
PD0004-C	0.9979296
PD0005-C	0.99624264
PD0006-01	0.9047893
PD0007-01	0.7574323000000001
PD0008-02	0.84519005
PD0009-01	0.8806290999999999
PD0011-01	0.9607198
PD0015-02	0.903192
PD0016-C	0.99325156
PD0017-C	0.9952588
PD0018-C	0.8495468
PD0019-C	0.8087181
PD0020-C	0.60300374
PD0021-C	0.8213318000000002
PD0022-C	0.9878769000000001
PD0023-C	0.8034003000000001
PD0025-C	0.99652475
PD0026-C	0.9930901
PD0027-C	0.98466307
PD0028-C	0.9907976000000001
PD0029-C	0.98795253
PD0030-C	0.7611643
PD0031-C	0.9956003000000001
PD0032-C	0.9113515999999999
PD0033-C	0.9915457000000001
PD0034-C	0.93593305
PD0037-C	0.9886716999999998
PD0038-C	0.99289525
PD0040-C	0.98836595
PD0041-C	0.9889614
PD0042-C	0.9901415000000001
PD0043-C	0.99400246
PD0045-C	0.75805444
PD0046-C	0.97934794
PD0048-C	0.9955543
PD0050-C	0.86504704
PD0052-C	0.9881687
PD0053-C	0.98864895
PD0056-C	0.99265176
PD0057-C	0.8951425999999999
PD0058-C	0.9889030999999999
PD0060-C	0.80273765
PD0061-C	0.9891144000000001
PD0062-C	0.87212867
PD0066-C	0.8673475
PD0067-C	0.99623674
PD0068-C	0.6100348000000001
PD0070-C	0.9388886999999999
PD0072-C	0.978015
PD0073-C	0.9894145000000001
PD0074-C	0.9818001000000001
PD0075-C	0.9883192
PD0076-C	0.8130733
PD0077-C	0.9811006999999999
PD0078-C	0.99458563
PD0079-C	0.9911591000000001
PD0080-C	0.97903776
PD0081-C	0.9130851999999999
PD0082-C	0.7884723000000001
PD0083-C	0.9823027
PD0084-C	0.9788196
PD0085-C	0.9920931000000001
PD0086-C	0.99045545
PD0087-C	0.9939283000000001
PD0088-C	0.99666953
PD0089-C	0.9982578000000001
PD0090-C	0.99514323
PD0091-C	0.9918338
PD0092-C	0.9892668
PD0093-C	0.64263546
PD0094-C	0.9926214
PD0095-C	0.99906963
PD0096-C	0.9762709999999999
PD0097-C	0.91108274
PD0098-C	0.99204016
PD0101-C	0.99145406
PD0102-C	0.93882775
PD0103-C	0.99646586
PD0105-C	0.98811156
PD0106-C	0.8096139
PD0109-C	0.9910873
PD0110-C	0.9288874
PD0111-C	0.9956632
PD0112-C	0.99063253
PD0115-Cx	0.99104947
PD0116-C	0.98545283
PD0117-C	0.9898995999999999
PD0118-C	0.99942905
PD0119-C	0.9002634
PD0121-C	0.98562795
PD0122-C	0.9852114
PD0123-C	0.99176985
PD0124-C	0.8422312
PD0125-C	0.9978366
PD0126-C	0.9850365
PD0127-C	0.99038035
PD0128-C	0.6642623000000001
PD0129-C	0.9947527
PD0130-C	0.9614063
PD0131-C	0.9960674
PD0132-C	0.9463531
PD0133-C	0.9959966
PD0134-C	0.9892764000000001
PD0135-C	0.9890247
PD0136-C	0.99684453
PD0138-C	0.9868583000000001
PD0139-C	0.98655057
PD0140-C	0.9908216999999999
PD0141-C	0.9902915999999999
PD0142-C	0.9899093000000001
PD0143-C	0.9920136
PD0144-C	0.9819992000000001
PD0145-C	0.99525815
PD0459-Cx	0.9799341
PD0460-C	0.86560065
PD0461-C	0.99089545
PD0462-C	0.9986613000000001
PD0464-C	0.75595504
PD0466-C	0.87655914
PD0467-C	0.9932504000000001
PD0469-C	0.54865974
PD0470-C	0.98815817
PD0471-C	0.9873089
PD0472-C	0.98708886
PD0473-C	0.9744091
PD0474-C	0.9865285
PD0475-C	0.979979
PD0476-C	0.98523474
PD0477-C	0.9854407
PD0478-C	0.9918667999999999
PD0480-C	0.9918051
PD0481-C	0.9885723
PD0482-C	0.8256621
PD0483-C	0.98937345
PD0484-C	0.75060856
PD0485-C	0.61742496
PD0487-C	0.9910374
PD0488-C	0.9940764999999999
PD0489-C	0.5706989
PD0490-C	0.99694234
PD0491-C	0.7187836
PD0492-C	0.6681906999999999
PD0493-C	0.81110305
PD0494-C	0.99583864
PD0495-C	0.97860986
PD0496-C	0.98702836
PD0497-C	0.99494064
PD0498-C	0.9979091
PD0499-C	0.45479557
PD0500-C	0.9938938
PD0501-C	0.99238145
PD0502-C	0.99801713
PD0503-C	0.99857795
PD0504-C	0.98644763
PD0505-C	0.987885
PD0506-C	0.9874280999999999
PD0507-C	0.9879886
PD0508-C	0.98689526
PD0509-Cx2	0.98908466
PD0510-C	0.97894466
PD0511-C	0.99114144
PD0512-C	0.9846285
PD0513-C	0.98425883
PD0514-C	0.99024004
PD0515-C	0.85269874
PD0516-C	0.99271184
PD0517-C	0.5409849
PD0518-C	0.9876264000000001
PD0519-C	0.72008926
PD0520-C	0.99063295
PD0521-C	0.99809873
PD0522-C	0.99462885
PD0523-C	0.9971886999999999
PD0524-C	0.9659559000000001
PD0525-C	0.99528366
PD0526-C	0.83010596
PD0527-C	0.98931396
PD0528-C	0.9959960999999999
PD0529-C	0.9890114
PD0530-C	0.98730165
PD0531-C	0.87139404
PD0532-C	0.99028015
PD0533-C	0.9931568000000001
PD0534-C	0.85869664
PD0535-C	0.99746835
PD0536-C	0.7274565
PD0537-C	0.8526446
PD0538-C	0.89470035
PD0539-C	0.98090506
PD0540-C	0.9469653
PD0541-C	0.98866993
PD0543-C	0.9921517
PD0544-C	0.9868403
PD0545-C	0.95930916
PD0546-C	0.9900315999999999
PD0547-C	0.9854502
PD0548-C	0.9809054
PD0549-C	0.99027896
PD0550-C	0.98097605
PD0552-C	0.98804605
PD0553-C	0.9920068999999999
PD0554-C	0.75493336
PD0555-C	0.9822061
PD0556-C	0.98754215
PD0557-C	0.9883778
PD0558-C	0.9937203000000001
PD0559-C	0.9875844000000001
PD0561-C	0.9931934000000001
PD0562-C	0.9587238000000001
PD0563-C	0.98796046
PD0564-C	0.9862223
PD0565-C	0.9878056999999999
PD0566-C	0.65935373
PD0567-C	0.9850696
PD0569-C	0.98702186
PD0570-C	0.99460983
PD0571-C	0.98988116
PD0572-C	0.9858195
PD0573-C	0.9899814
PD0574-C	0.9917368000000001
PD0575-C	0.9976127
PD0576-C	0.9585263
PD0577-C	0.6088709
PD0578-C	0.994778
PD0579-C	0.99774057
PD0580-C	0.9979684000000001
PD0581-C	0.9916671999999999
PD0582-C	0.99451554
PD0583-C	0.98955035
PD0584-C	0.9886135
PD0585-C	0.93806905
PD0586-C	0.9987296999999998
PD0587-C	0.9887875
PD0589-C	0.9869406
PD0590-C	0.98808056
PD0591-C	0.8988959000000001
PD0592-C	0.6047298000000001
PD0626-C	0.99251115
PD0627-C	0.99883187
PD0629-C	0.99020666
PD0630-C	0.9926359
PD0632-C	0.9901486999999999
PD0635-C	0.9900361999999999
PD0636-C	0.98506904
PD0637-C	0.9886235000000001
PD0638-C	0.9919610999999999
PD0648-C	0.9893175
PD0651-C	0.9941323000000001
PD0658-C	0.9978108
PD0659-C	0.99778014
PD0662-C	0.9906934999999999
PD0663-C	0.9982934000000001
PD0664-C	0.99032754
PD0667-C	0.5392425999999999
PD0668-C	0.9979469000000001
PD0670-C	0.9908421999999999
PD0716-C	0.9935768
PD0717-C	0.98920166
PD0718-C	0.9888232
PD0720-C	0.96808916
PD0721-C	0.98859286
PD0722-C	0.9909991
PD0724-C	0.994942
PD0725-C	0.95338625
PD0726-C	0.99133897
PD0727-C	0.9906588
PD0728-C	0.9899676
PD0729-C	0.8308429
PD0730-C	0.9877306999999999
PD0731-C	0.9953185
PD0733-C	0.9913946
PD0734-C	0.9965521
PD0735-C	0.9903441999999999
PD0740-C	0.8771452
PD0741-C	0.9738817
PD0742-C	0.99400645
PD0744-C	0.9916627
PD0745-C	0.9921853999999999
PD0746-C	0.98604786
PD0747-C	0.9921025
PD0748-C	0.9924878
PD0749-C	0.99291265
PD0750-C	0.9915364999999999
PD0751-C	0.9877764000000001
PD0754-C	0.97905725
PD0755-C	0.9658515
PD0758-C	0.9940974
PD0760-C	0.99479043
PD0761-C	0.99275523
PD0762-C	0.99405557
PD0765-C	0.7409334
PD0766-C	0.99158126
PD0767-C	0.9904611999999999
PD0771-C	0.93803406
PD0772-C	0.9868358
PD0774-C	0.9952290000000001
PD0775-C	0.5510052
PD0776-C	0.9912511
PD0777-C	0.99216604
PD0781-C	0.9876578000000001
PD0782-C	0.994231
PD0785-C	0.99871457
PD0786-C	0.9986879000000001
PD0787-C	0.99139476
PD0789-C	0.80378044
PD0790-C	0.99141157
PD0791-C	0.99566853
PD0792-C	0.9839483
PD0793-C	0.9928554
PD0794-C	0.9935078000000002
PD0795-C	0.9921798000000001
PD0796-C	0.9903718
PD0798-C	0.9907162
PD0799-C	0.9967665000000001
PD0800-C	0.9978395
PD0801-C	0.9855271000000001
PD0802-C	0.5657422
PD0803-C	0.9914643
PD0804-C	0.9919099
PD0806-C	0.99585
PD0808-C	0.88664126
PD0809-C	0.9903040999999999
PD0810-C	0.99086577
PD0813-C	0.9879703000000001
PD0814-C	0.9970973
PD0816-C	0.9870213
PD0817-C	0.99230814
PD0818-C	0.9873921
PD0819-C	0.98775834
PD0820-C	0.98984444
PD0821-C	0.8081166999999999
PD0822-C	0.9870404
PD0823-C	0.9978881
PD0824-C	0.9981449
PD0825-C	0.99785537
PD0826-C	0.9868033000000002
PD0827-C	0.9877705
PD0828-C	0.9901722
PD0829-C	0.994201
PD0830-C	0.98058414
PD0831-C	0.99154973
PD0832-C	0.9898013000000001
PD0833-C	0.9663023999999999
PD0834-C	0.9983112
PD0835-C	0.9984052
PD0836-C	0.9838263
PD0837-C	0.99910265
PD0838-C	0.99131817
PD0839-C	0.99202234
PD0840-C	0.91640234
PD0841-C	0.98539776
PD0842-C	0.9986994
PD0843-C	0.7968736999999999
PD0845-C	0.9953036
PD0846-C	0.99444747
PD0847-C	0.98514694
PD0848-C	0.98876095
PD0849-C	0.9941455
PD0851-C	0.5598253000000001
PD0852-C	0.8255372999999999
PD0853-C	0.98241514
PD0854-C	0.99853456
PD0855-C	0.9889648000000001
PD0856-C	0.984798
PD0857-C	0.82471883
PD0858-C	0.9967437
PD0859-C	0.98651403
PD0860-C	0.9814504000000001
PD0861-C	0.8210728
PD0862-C	0.9885521999999999
PD0863-C	0.9775938
PD0864-C	0.85608774
PD0865-C	0.98524183
PD0867-C	0.99080896
PD0869-C	0.85580486
PD0870-C	0.98461825
PD0871-C	0.9913651
PD0872-C	0.9817568000000001
PD0873-C	0.9887686
PD0874-C	0.98722523
PD0875-C	0.9876959999999999
PD0876-C	0.9878159
PD0877-C	0.9928693999999999
PD0878-C	0.9851188
PD0879-C	0.98551846
PD0881-C	0.9926168
PD0882-C	0.5293057
PD0883-C	0.95909154
PD0884-C	0.51475334
PD0885-C	0.9873605
PD0886-C	0.993239
PD0887-C	0.9821478000000001
PD0889-C	0.9617481999999999
PD0890-C	0.7623999
PD0891-C	0.86268514
PD0892-C	0.8259185
PD0894-C	0.97179693
PD0895-C	0.9932904
PD0898-C	0.87875766
PD0900-C	0.86728394
PD0901-C	0.88037974
PD0904-C	0.98702276
PD0905-C	0.7630836999999999
PD0906-C	0.9896222
PD0907-C	0.9974069
PD0908-C	0.65147334
PD0909-C	0.98051244
PD0910-C	0.88239235
PD0912-C	0.6527053
PD0913-C	0.8396179
PD0914-C	0.9839243000000001
PD0915-C	0.61415035
PD0916-C	0.7166749
PD0918-C	0.9859198
PD0919-C	0.9857708000000001
PD0920-C	0.79886144
PD0921-C	0.729427
PD0923-C	0.9881032
PD0924-C	0.9847556999999999
PD0925-C	0.98853326
PD0926-C	0.99044335
PD0927-C	0.990542
PD0928-C	0.9892975
PD0929-C	0.9898726999999999
PD0930-C	0.9898574
PD0931-C	0.98893785
PD0932-C	0.9875244000000001
PD0933-C	0.9892197
PD0934-C	0.98625815
PD0935-C	0.8954766
PD0936-C	0.9925929
PD0937-C	0.9930399
PD0938-C	0.99468607
PD0939-C	0.99514365
PD0940-C	0.79720545
PD0941-C	0.87558144
PD0942-C	0.94304705
PD0943-C	0.6865078
PD0944-C	0.99062437
PD0945-C	0.63976455
PD0948-C	0.49840686
PD0949-C	0.99213195
PD0950-C	0.9940689
PD0951-C	0.9898905000000001
PD0952-C	0.9921798000000001
PD0953-C	0.9889995
PD0954-C	0.99249303
PD0955-C	0.98853827
PD0956-C	0.98756063
PD0957-C	0.9043515999999999
PD0958-C	0.989201
PD0959-C	0.89201146
PD0960-C	0.53130394
PD0961-C	0.9917808000000001
PD0962-C	0.77783966
PD0963-C	0.99507576
PD0964-C	0.5261561
PD0966-C	0.9870688
PD0967-C	0.72581494
PD0968-C	0.98920685
PD0969-C	0.99123454
PD0971-C	0.9899332000000001
PD0972-C	0.89559907
PD0973-C	0.9970406999999999
