Sample	Cross	Clone	Accession
PG0496-C	803_gb4	38E11	ERR905455
PG0498-C	803_gb4	39G5	ERR905457
PG0499-C	803_gb4	39H5	ERR905458
PG0500-C	803_gb4	40A6	ERR905459
PG0501-C	803_gb4	40B12	ERR905460
PG0502-C	803_gb4	40F4	ERR905461
PG0503-C	803_gb4	40G2	ERR905462
PG0504-C	803_gb4	43E5	ERR905463
PG0505-C	803_gb4	44D4	ERR905464
PG0508-C	803_gb4	76H10-Tk13	ERR905468
PG0509-C	803_gb4	85G7	ERR905469
PG0510-C	803_gb4	88C9	ERR905470
PG0512-C	803_gb4	37F12	ERR905473
