cross	clone	sample	run	instrument	coverage
hb3_dd2	7C408	PG0031-C	ERR015458	Illumina Genome Analyzer II	51X
hb3_dd2	7C421	PG0043-C	ERR015459	Illumina Genome Analyzer II	164X
hb3_dd2	7C424	PG0044-C	ERR019043	Illumina Genome Analyzer II	172X
hb3_dd2	7C46	PG0046-Cx	ERR107476	Illumina HiSeq 2000	62X
hb3_dd2	7C7	PG0048-C	ERR019049	Illumina Genome Analyzer II	110X
hb3_dd2	B1SD	PG0015-C	ERR019044	Illumina Genome Analyzer II	91X
hb3_dd2	B4R3	PG0018-C	ERR019042	Illumina Genome Analyzer II	115X
hb3_dd2	CH3_116	PG0032-Cx	ERR037703	Illumina HiSeq 2000	186X
hb3_dd2	CH3_61	PG0033-Cx	ERR175544	Illumina HiSeq 2000	68X
hb3_dd2	D43	PG0029-Cx	ERR107474	Illumina HiSeq 2000	34X
hb3_dd2	DD2	PG0008-CW	ERR012840	Illumina Genome Analyzer II	122X
hb3_dd2	GC03	PG0021-C	ERR015447	Illumina Genome Analyzer II	152X
hb3_dd2	GC06	PG0028-C	ERR015456	Illumina Genome Analyzer II	54X
hb3_dd2	HB3	PG0004-CW	ERR012788	Illumina Genome Analyzer II	80X
hb3_dd2	QC01	PG0017-C	ERR019050	Illumina Genome Analyzer II	117X
hb3_dd2	QC13	PG0016-C	ERR012895	Illumina Genome Analyzer II	68X
hb3_dd2	QC23	PG0045-C	ERR012892	Illumina Genome Analyzer II	115X
hb3_dd2	QC34	PG0026-C	ERR015453	Illumina Genome Analyzer II	55X
hb3_dd2	SC01	PG0025-C	ERR019045	Illumina Genome Analyzer II	149X
hb3_dd2	SC05	PG0019-C	ERR019051	Illumina Genome Analyzer II	97X
hb3_dd2	TC05	PG0027-C	ERR015450	Illumina Genome Analyzer II	115X
hb3_dd2	TC08	PG0020-C	ERR019052	Illumina Genome Analyzer II	144X
